,playerName,teamName,Goal,MissedShots,SavedShot,ShotOnPost,Total Shots
0,Ousmane Dembélé,PSG,8,13,29,2,52
1,Kylian Mbappé,Real Madrid,8,10,29,0,47
2,Harry Kane,Bayern Munich,10,11,19,1,41
3,Erling Haaland,Man City,8,8,22,1,39
4,Raphinha,Barcelona,11,15,12,1,39
5,Michael Olise,Bayern Munich,5,11,19,0,35
6,Jamal Musiala,Bayern Munich,3,6,22,3,34
7,Lamine Yamal,Barcelona,3,8,22,0,33
8,Vinícius Júnior,Real Madrid,7,10,15,1,33
9,Serhou Guirassy,Borussia Dortmund,10,10,12,0,32
10,Mohamed Salah,Liverpool,4,11,13,3,31
11,Vangelis Pavlidis,Benfica,7,4,19,1,31
12,Ademola Lookman,Atalanta,5,7,16,1,29
13,Johan Bakayoko,PSV,2,10,15,0,27
14,Phil Foden,Man City,3,9,15,0,27
